ID,Joint Name,Servo,Baudrate
1,waist,XL430-W250,1Mbps
2,shoulder,XL430-W250,1Mbps
3,shoulder_shadow,XL430-W250,1Mbps
4,elbow,XL430-W250,1Mbps
5,elbow_shadow,XL430-W250,1Mbps
6,wrist_angle,XL430-W250,1Mbps
7,wrist_rotate,XL430-W250,1Mbps
8,gripper,XL430-W250,1Mbps
